wiI7pd,,
"When Khalid motor started working, it was amazing in services, timely and efficiently, but with time as it goes older services get declined. Staff do things unprofessional and services was disappointing, for one things need several visit to fix.
It's just ok",,
"It good building have suzuki vehicles booking facility but the personnel are out laws,they secretly misuses the vehicles if it is kept in their custody for repair work especially danting n painting. They take the vehicles out of the workshop n misuse it  for their personal use.",,Like
"Nice and Good Dealership of Suzuki cars in Lahore. 3 s dealership at lahore ferozpur road. Body paint, mechanical works. Parts sale and service. New cars sale. After sale service facility. Warranty claim center.",,Like
They usually do charge more than the market for the services they provide and if you dont have an insured car and you are going for repairment  of your dented car they will charge allmost thrice of the market rate.,,Like
Very good services and friendly atmosphere,,
The worst experience ever. Non acceptable behaviour of  Advisors and Manager. No working sense found in technicians.,,Like
Very good experience because I have purchased new car alto vxr also very good service,,Like
Not bad service just okay but still four star because of the beautiful building?? …,,Like
"Good facility on a very busy road, providing 3S services  sale, service & spares. Sales department is quite active and smart in their business.",,Like
Good service but very high price some mechanics are honest and good,,Like
Well organized the  Suzuki Motor Showroom and workshop by Khalid Motors.,,
They have experienced staff. Good place for routine maintenance. But parts are expensive.,,Like
Their staff is Amazing!!,,Share
"Service Manager is not a professional guy.
He don't know how to deal with customers.
Sales team is good",,Like
Very busy work shop but good staff,,Like
GOOD SERVICE FOR PARTS AND BODY SHOP BUT STAFF IS NOT COOPERATIVE,,Like
Good service.. polite and cooperative staff... Complete their tasks on time.!,,Like
"Experiend stàf here
Sab g excellent",,Like
Good Service by Suzuki Khalid Motors,,Share
Good service,,Like
good services and environment.well behaved customer care executive.overall very good experience.,,Like
Staff needs improvement regarding customer handling. Very poor staff training.,,Like
"Its 3S Suzuki Showroom. 3S stands for ""Sales, Service & Spare Parts""....... Its professionally being run by Mr. Khalid Sethi who is brother of Khawar Sethi, the owner of ""Sethi Motors"" another 3S showroom in Lahore. So one can say  Suzuki Khalid Motors is being professionally run by a professional family who has their family business.....",,Like
Suzuki khali motors is a suzuki showroom. U can have a good car. Mr jibran is a sales man here u ca n contact with him. Yhe manager was down to earth man.,,
Great showroom for suzuki cars. If you want a suzuki car this is the best place. You will find all the information through friendly staff and so many options available at the showroom.,,Like
It was nice visiting there. Staff was cooperative and the rate you get from there is the cheapest as compared to Suzki distributors.,,
Good but as usual staff is not cooperative,,Like
Nice place for all matters about Suzuki cars,,
It's a good showroom but marketing staff is never in mood to show you around a car or offer a test drive.,,
Good experience,,Like
trkki to make money,,Like
Very unprofessional staff. Don't bother to deal customers waiting for their attention. Remain busy in phones and other activities.,,Like
"Ghatia used card section badtmezz Staff
Abusing with customers
Ghatia tareen suzuki dealers",,Like
Great Customer Service. Bought my all new GS150SE. 100% Satisfied? …,,
"Denting and painting department of Khalid Motors is very Disappointed
Specially Mr.Zeshan head of painting department is very disappointing .
The boy junaid assistant of paint department is  also very disappointing .
Don't go there for paint & denting purpose.",,Like
Now their labour rates are going to higher side but eorker are competent,,Like
Best Car technical services place where you are properly guided by staff about your vehicle and you get experienced mechanics,,Like
"I got delivery of my new car from Khalid Motors. They charged Rs.3000 against car registration commission and once I asked to install number plates they demand extra money.

Very pathetic staff and customer service.",,
"Near to main road, parking facility outside showroom. Generally good reputation",,Like
Having very bad experience. No one going to listen you.for service etc..pathatic service,,Like
menager is co operatiave. finally some companey dealers with smiling face and possitive attitude,,Like
Very worst place ever visited. I will recommend people to not visit this place. Sethi motors or mini motors much much much better then them.,,
They are very good in their jobs specially body and paint shop.,,Like
Manager behaviour is not good and cleaness condition worse.,,Share
Big show room and work shop good service's,,
The Services are Normal But The Spare Parts Prices are Sky rocketing. I would not suggest Buying Spare Parts from Their Spare Parts Shop.,,Like
Good experience made here in Khalid Suzuki Motors...,,
"They are Pak Suzuki's authorized dealer. They sell Suzuki vehicles,  Spare parts and provide repair and maintenance services.",,Like
They did nice work,,Like
Worst customer service when it comes to suzuki service centers. Workers are untalented and ignorent along with management.,,Like
Good dealing but there phones always goes busy.,,Like
Good services for Suzuki Cars. With professional workers,,Like
"Excellent service, friendly staff.",,Like
Bought Suzuki Wagnor VXL yesterday,,Share
Mr. Zeeshan (Body & Paint) Manager behaviour is not up to the mark. Very bad experience.,,
Abdul Rehman True Leader of this company,,Like
Sportive staff,,Like
Nice staff best price and fast lane workshop available for Suzuki Vehicles,,Like
"You can get any of your Suzuki car fixed or u can buy some of the Suzuki cars here...
Thx 4 reading please like.
Regards",,
Good workers. But paint Shops staff is very arrogant.,,Like
Cooperative staff... Almost neat n clean atmosphere...,,Like
Amir manager of mechanical work is very competent and always wellcome.,,Like
Good advices which are beneficial for customer,,Like
Good showroom especially workshop is very good.,,Like
"Customer care , service and work completion time all are average",,Like
Very good staff,,Like
"Buy new car.
Repair baher se kerwaoo",,Like
"Service needs improvement. System was down, debit card payment option was out of order.. the job order guy was not satisfactory",,Like
An authorized dealership of Paksuzuki motors company serving the city in sales service and spareparts as well as used car exchange.,,Like
Good staff with average work quality,,Like
Well organized dealership operations and good customer satisfaction.,,Like
Very nice location from where u can easily move any where in lahore,,Like
Very good staff always ready to help u.,,Like
"New Suzuki cars Mehran, WagonR, is available here. Genuine Suzuki spareparts are also available here",,Like
Very easy to get quality car service,,Like
"very poor performance
your engineer's are very crupt
I can't imagine
suzuki mehran is 2 #car",,
Authorised Suzuki Car Dealer & Workshop,,Like
Management should be improved specially when work flow increase,,Like
"Busy place. I'll recommend Bilal Autos (10/10) @Academy Road, Gulbergside.",,Like
It is a nice place with quiet good dealing officers,,Like
"Authoriesed car dealer of Suzuki motors,besides New vehicles it also deal in second hand cars duly certified by them.",,Like
Every nice place very good services,,Like
Not really good but they pretend to be good,,Like
Very bad experience,,Like
Bad un managed and disatisfactory services for customer,,Like
It's okay but needs to improve training of their sales Staff.,,Like
Good service. Costly but original parts,,
"They are seller, buyers and has service shop of Suzuki cars.",,
Best place for vehicle buying and after sales services,,
"I bought suzuku 150se at 130,000 fro khalis motor,  having bikes and vehicle of suzuki",,
"If it's Suzuki,  it's worst service at higher rates. No matter which showroom you go to.",,Like
Best place for Suzuki cars buying and maintaining point of view.,,Like
A good showroom with very good a caring staff,,Like
Nice place gd bndy,,Like
"Nice place, good work, excelent service",,Like
Nice and cleaned...... Looked professional....,,Like
My First Experience is good? …,,Share
Best to best dealer in lahore they have lot of cars with best prices,,
"Service department is good., Especially staff members",,Like
Good work shop and car sale showroo,,Like
Cooperative staff. Nice experience,,Like
Good service but play games.,,Like
Nice dealership,,Like
He bid Suki dealer and has big work shop.,,Like
Lack of information of employees,,Like
"Quality service, cooperative staff",,Like
Loved it. The bEst suzuki car dealer place.,,Like
"Chor hen yeh....
Avoid going there please",,Like
Khalid motors is a fine show room situated at LOS .,,Like
For suzuki cars and bikes,,Share
The staff is very friendly and cooperative.,,Like
Good and experienced technical staff,,Like
V professional staf and friendly,,Like
Good suzuki showroom and very cooprating staff,,Like
Excellent work ? …,,Like
Had a great experience there,,Like
Pathetic customer service not recommended if you want to buy a new Suzuki,,Like
Worker some time misbehave that's y 3 star,,
"V. Good showroom for cars purchasing
And also workshop",,Like
Extremely nice & polite discussion with the staff,,Like
Not a good dealers in salesman,,Like
Very congested and parts are overpriced for no reason.,,Like
Everything is very costly but servise is good,,Like
A good Suzuki care 3 S service and sale shop,,Like
They are looting ppl by extra demands of own,,
Mechanics are very professional and experienced here.,,Like
Staff is not as cooperative and professional as they should be,,Like
First free inspection and oil change of my car Suzuki wagonR,,Like
Staff attitude and service not satisfactory.,,Like
Parts manager is very hardworking man,,Like
Thek hy par apke lebor rates zada hy suzuki samnabad sy,,Like
Pretty good place to buy a new car of Suzuki.,,Like
Giid Palace to buy New Suzuki Cars. 3S Dealership.,,Like
Too much looting,,Like
One of the best suzuki showrooms in town....,,Like
"To expensive,  non cooperative  staff ..!!",,
Mechanics and reception guys were not cooperative.,,Like
Who want to purchase new car should go to khalid motors,,Like
Good place and good service,,Like
You can get 3s  services Suzuki brands of vehicals.,,Like
Good services ? …,,Like
Ok that was fine,,
Cooperative staff and good in maintaining sazuki motors,,Like
Good service and support from dealer,,Like
Its nice,,Like
A Good Suzuki Company Showroom ... but EXTREMELY OVERLOADED ! And Crowded !,,Like
Nice cars,,
Visit this place for buying Bike,,Like
My experience was good,,Like
Very professional and very cooperative.,,Like
Best shop and honest peoples,,Like
I just love fortuner they have,,Like
Very cooperative staff.,,Like
Good showw room as well,,Like
Good colur paint matching is good,,Like
Have all kind of suzuki spare parts,,Like
First visit no proper check up,,Like
Get the job done but expensive labor/parts,,Like
Have to wait for week for denting painting services,,Like
One of the oldest suzuki dealer,,Like
Good experience suzuki khalid moters,,Like
Not good experience but,,Like
It was good as they are professional.,,Like
Good place. Professional.,,Like
Good place to work,,Like
"bad services,  crupt staff.",,Like
The customer service was very poor,,Like
Good proffesional staff,,Share
Satisfying Service & Cooperative Staff,,Like
very very good,,Like
Overall good management ?? …,,Like
Staff is so non cooperative,,Like
Worst experience ever.,,Like
Nice workshop and showroom,,Like
Good dealers of Pak suzuki motors,,Like
Very cooperative team.,,Like
Good at service,,Like
Great People,,
"Nice people, good work",,Like
This is a show room of bikes and cars. And service centre for cars only,,Like
"poor service, arrogant staff.",,Like
Best place to buy Suzuki cars.,,Like
Good and professional team.,,Like
Good ppl,,Like
very helpful management,,Like
Authorized Suzuki workshop with excellent service,,Like
Good for maintenance of suzuki cars,,Like
Very humble staff,,Like
Ok  but not excellent,,Like
Good Suzuki 3S facility,,Like
Very poor service.,,Like
Well behaved staff.,,Like
Not good,,Like
Excellent,,Share
It's was Great Experience,,Like
Gud Suzuki dealer ship,,
Nice staff,,Like
Labour price is very high.,,Like
Good,,Like
Poor post sales service,,Like
Nice work shop,,Like
Happy to visit here.,,Like
Good shop,,Like
